sites	cas_number	chemical_name	MEC_uM	MDL_uM	conc_uM	alg_ecotox_uM	crust_ecotox_uM	fish_ecotox_uM	alg_ecosar_uM	crust_ecosar_uM	fish_ecosar_uM	alg_vega_uM	crust_vega_uM	fish_vega_uM
R3	1007-28-9	Desisopropylatrazine	1.543747677898199e-4	1.440063132367723e-5	1.543747677898199e-4	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
RS3	1007-28-9	Desisopropylatrazine	0	1.440063132367723e-5	1.440063132367723e-5	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
RS2	1007-28-9	Desisopropylatrazine	0	1.440063132367723e-5	1.440063132367723e-5	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
T2	1007-28-9	Desisopropylatrazine	3.686561618861371e-5	1.440063132367723e-5	3.686561618861371e-5	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
R2	1007-28-9	Desisopropylatrazine	0	1.440063132367723e-5	1.440063132367723e-5	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
RS1	1007-28-9	Desisopropylatrazine	0	1.440063132367723e-5	1.440063132367723e-5	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
T3	1007-28-9	Desisopropylatrazine	1.537987425368728e-4	1.440063132367723e-5	1.537987425368728e-4	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
T1	1007-28-9	Desisopropylatrazine	0	1.440063132367723e-5	1.440063132367723e-5	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
R1	1007-28-9	Desisopropylatrazine	0	1.440063132367723e-5	1.440063132367723e-5	2.1333396085393486	0.012749534973285313	-7777	14.389227848209456	2.7477135752761956	20.630166825090967	77.70580662256233	0.6981426065718721	11.059684856584113
RS2	101-42-8	Fenuron	0	4.262979554750056e-6	4.262979554750056e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
T3	101-42-8	Fenuron	1.7051918219000224e-5	4.262979554750056e-6	1.7051918219000224e-5	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
R1	101-42-8	Fenuron	0	4.262979554750056e-6	4.262979554750056e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
R3	101-42-8	Fenuron	0	4.262979554750056e-6	4.262979554750056e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
RS3	101-42-8	Fenuron	0	4.262979554750056e-6	4.262979554750056e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
T1	101-42-8	Fenuron	0	4.262979554750056e-6	4.262979554750056e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
RS1	101-42-8	Fenuron	0	4.262979554750056e-6	4.262979554750056e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
T2	101-42-8	Fenuron	7.916962030250103e-6	4.262979554750056e-6	7.916962030250103e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
R2	101-42-8	Fenuron	6.08997079250008e-6	4.262979554750056e-6	6.08997079250008e-6	4.262979981048011	-7777	-7777	0.8487331506870035	22.595635864461794	20.16094937675513	37.331520958025486	5.549181386126072	7.125265827225093
T2	10161-33-8	Trenbolone	1.3685147657195189e-5	3.6986885559986992e-6	1.3685147657195189e-5	-7777	-7777	2.997377281165705e-4	16.696176212947627	5.777050952409159	79.6758783521329	0.3831841344014652	4.882268893918283	1.3289387981703327
RS1	10161-33-8	Trenbolone	0	3.6986885559986992e-6	3.6986885559986992e-6	-7777	-7777	2.997377281165705e-4	16.696176212947627	5.777050952409159	79.6758783521329	0.3831841344014652	4.882268893918283	1.3289387981703327
T3	10161-33-8	Trenbolone	0	3.6986885559986992e-6	3.6986885559986992e-6	-7777	-7777	2.997377281165705e-4	16.696176212947627	5.777050952409159	79.6758783521329	0.3831841344014652	4.882268893918283	1.3289387981703327
